{'moisture_value_1': 33800.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M39S29'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -550.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M40S01'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M40S34'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M41S07'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M41S39'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M42S12'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M42S45'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -400.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M43S17'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M43S50'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M44S22'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M44S55'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -600.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M45S28'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -600.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M46S00'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M46S33'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M47S06'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M47S38'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -600.0, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M48S11'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M48S44'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M49S16'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M49S49'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M50S21'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M50S54'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M51S27'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M51S59'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M52S32'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M53S05'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -550.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M53S37'}
{'moisture_value_1': 33200.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M54S10'}
{'moisture_value_1': 33200.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M54S43'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M55S15'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M55S48'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M56S21'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M56S53'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -550.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M57S26'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M57S58'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M58S31'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M59S04'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H00M59S36'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H01M00S09'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H01M00S42'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H01M01S14'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H01M01S47'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 57.875, 'temp_value_2': 54.95, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H01M02S20'}
{'moisture_value_1': 33200.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.875, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H01M02S52'}
{'moisture_value_1': 33200.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.85, 'time': 'D09M06Y2021H01M03S25'}
