{'moisture_value_1': 26400.0, 'moisture_value_2': 780.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M21S54'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 760.0, 'moisture_value_3': -33.333333333333314, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M22S27'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.225, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M23S00'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 760.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M23S32'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M24S05'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 740.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M24S38'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M25S10'}
{'moisture_value_1': 26800.0, 'moisture_value_2': 780.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 63.725, 'temp_value_3': 64.5116, 'time': 'D01M06Y2021H00M25S43'}
{'moisture_value_1': 26700.0, 'moisture_value_2': 820.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M26S16'}
{'moisture_value_1': 26800.0, 'moisture_value_2': 820.0, 'moisture_value_3': -33.333333333333314, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M26S48'}
{'moisture_value_1': 26700.0, 'moisture_value_2': 820.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M27S21'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 800.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M27S53'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 800.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M28S26'}
{'moisture_value_1': 26700.0, 'moisture_value_2': 800.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M28S59'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 780.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M29S31'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 780.0, 'moisture_value_3': 0.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M30S04'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 760.0, 'moisture_value_3': -50.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M30S37'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M31S09'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 760.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M31S42'}
{'moisture_value_1': 26200.0, 'moisture_value_2': 760.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M32S15'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M32S47'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 740.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M33S20'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 820.0, 'moisture_value_3': -33.333333333333314, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M33S53'}
{'moisture_value_1': 26700.0, 'moisture_value_2': 840.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M34S25'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 820.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M34S58'}
{'moisture_value_1': 26200.0, 'moisture_value_2': 820.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.225, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M35S30'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 840.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M36S03'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 800.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.225, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M36S36'}
{'moisture_value_1': 25900.0, 'moisture_value_2': 800.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.225, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M37S08'}
{'moisture_value_1': 25500.0, 'moisture_value_2': 780.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.225, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M37S41'}
{'moisture_value_1': 25500.0, 'moisture_value_2': 800.0, 'moisture_value_3': -33.333333333333314, 'temp_value_1': 68.225, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M38S14'}
