{'moisture_value_1': 12100.0, 'moisture_value_2': 73.6842105263158, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 64.85, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M24S09'}
{'moisture_value_1': 12000.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.85, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M24S42'}
{'moisture_value_1': 12100.0, 'moisture_value_2': 100.0, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.73660000000001, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M25S14'}
{'moisture_value_1': 12000.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.85, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M25S47'}
{'moisture_value_1': 12000.0, 'moisture_value_2': -5.263157894736835, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.73660000000001, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M26S20'}
{'moisture_value_1': 11900.0, 'moisture_value_2': 68.42105263157895, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.73660000000001, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M26S52'}
{'moisture_value_1': 11900.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.73660000000001, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M27S25'}
{'moisture_value_1': 11900.0, 'moisture_value_2': 84.21052631578948, 'moisture_value_3': 12.5, 'temp_value_1': 66.425, 'temp_value_2': 64.73660000000001, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M27S57'}
{'moisture_value_1': 11900.0, 'moisture_value_2': 78.94736842105263, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.625, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M28S30'}
{'moisture_value_1': 11800.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.625, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M29S03'}
{'moisture_value_1': 11800.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.625, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M29S35'}
{'moisture_value_1': 11700.0, 'moisture_value_2': 110.52631578947368, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.625, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M30S08'}
{'moisture_value_1': 11700.0, 'moisture_value_2': -5.263157894736835, 'moisture_value_3': 25.0, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.85, 'time': 'D25M10Y2021H15M30S41'}
{'moisture_value_1': 11700.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.625, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M31S13'}
{'moisture_value_1': 11700.0, 'moisture_value_2': -31.57894736842107, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M31S46'}
{'moisture_value_1': 11700.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.4, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M32S19'}
{'moisture_value_1': 11700.0, 'moisture_value_2': 63.15789473684211, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M32S51'}
{'moisture_value_1': 11600.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M33S24'}
{'moisture_value_1': 11600.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.4, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M33S56'}
{'moisture_value_1': 11600.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.4, 'temp_value_3': 64.73660000000001, 'time': 'D25M10Y2021H15M34S29'}
{'moisture_value_1': 11600.0, 'moisture_value_2': 73.6842105263158, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.625, 'time': 'D25M10Y2021H15M35S02'}
{'moisture_value_1': 11500.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.4, 'temp_value_3': 64.625, 'time': 'D25M10Y2021H15M35S34'}
{'moisture_value_1': 11500.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': 12.5, 'temp_value_1': 66.3116, 'temp_value_2': 64.5116, 'temp_value_3': 64.625, 'time': 'D25M10Y2021H15M36S07'}
{'moisture_value_1': 11500.0, 'moisture_value_2': 89.47368421052632, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.4, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M36S40'}
{'moisture_value_1': 11500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.4, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M37S12'}
{'moisture_value_1': 11500.0, 'moisture_value_2': -73.68421052631581, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.4, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M37S45'}
{'moisture_value_1': 11500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.4, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M38S18'}
{'moisture_value_1': 11400.0, 'moisture_value_2': 89.47368421052632, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.2866, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M38S50'}
{'moisture_value_1': 11400.0, 'moisture_value_2': -21.05263157894737, 'moisture_value_3': 25.0, 'temp_value_1': 66.2, 'temp_value_2': 64.2866, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M39S23'}
{'moisture_value_1': 11400.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.2866, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M39S56'}
{'moisture_value_1': 11400.0, 'moisture_value_2': -68.42105263157893, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.2866, 'temp_value_3': 64.4, 'time': 'D25M10Y2021H15M40S28'}
{'moisture_value_1': 11400.0, 'moisture_value_2': -73.68421052631581, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.175, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M41S01'}
{'moisture_value_1': 11400.0, 'moisture_value_2': 100.0, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.175, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M41S33'}
{'moisture_value_1': 11300.0, 'moisture_value_2': 73.6842105263158, 'moisture_value_3': 12.5, 'temp_value_1': 66.2, 'temp_value_2': 64.2866, 'temp_value_3': 64.5116, 'time': 'D25M10Y2021H15M42S06'}
{'moisture_value_1': 11300.0, 'moisture_value_2': 105.26315789473684, 'moisture_value_3': 25.0, 'temp_value_1': 66.2, 'temp_value_2': 64.175, 'temp_value_3': 64.4, 'time': 'D25M10Y2021H15M42S39'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -73.68421052631581, 'moisture_value_3': 25.0, 'temp_value_1': 66.2, 'temp_value_2': 64.175, 'temp_value_3': 64.4, 'time': 'D25M10Y2021H15M43S11'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 115.78947368421052, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.175, 'temp_value_3': 64.4, 'time': 'D25M10Y2021H15M43S44'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 100.0, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.175, 'temp_value_3': 64.4, 'time': 'D25M10Y2021H15M44S17'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -57.89473684210526, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.175, 'temp_value_3': 64.2866, 'time': 'D25M10Y2021H15M44S49'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -5.263157894736835, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.0616, 'temp_value_3': 64.2866, 'time': 'D25M10Y2021H15M45S22'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -36.84210526315789, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.0616, 'temp_value_3': 64.2866, 'time': 'D25M10Y2021H15M45S55'}
